timestamp,activity,adc_raw_value,voltage_v,velocity_ms,velocity_mms,displacement_um
2025-09-24T11:35:35.300584,digging,65,0.05238095238095238,-0.05545889295889295,-55.458892958892946,-2218.3557183557177
2025-09-24T11:35:35.300898,digging,-56,-0.045128205128205125,-0.05884462759462759,-58.84462759462759,-2353.7851037851037
2025-09-24T11:35:35.301238,digging,39,0.031428571428571424,-0.05618640618640618,-56.18640618640618,-2247.4562474562476
2025-09-24T11:35:35.301564,digging,-13,-0.010476190476190476,-0.057641432641432636,-57.64143264143264,-2305.6573056573056
2025-09-24T11:35:35.301927,digging,-35,-0.028205128205128206,-0.058257020757020744,-58.25702075702075,-2330.28083028083
2025-09-24T11:35:35.302299,digging,-31,-0.02498168498168498,-0.05814509564509564,-58.14509564509564,-2325.8038258038255
2025-09-24T11:35:35.302705,digging,25,0.020146520146520148,-0.05657814407814407,-56.57814407814407,-2263.125763125763
2025-09-24T11:35:35.303213,digging,-17,-0.013699633699633697,-0.05775335775335775,-57.75335775335775,-2310.13431013431
2025-09-24T11:35:35.303656,digging,0,0.0,-0.05727767602767602,-57.27767602767602,-2291.1070411070405
2025-09-24T11:35:35.304031,digging,-28,-0.022564102564102562,-0.058061151811151804,-58.0611518111518,-2322.4460724460723
2025-09-24T11:35:35.304952,digging,84,0.06769230769230769,-0.05492724867724867,-54.92724867724867,-2197.089947089947
2025-09-24T11:35:35.305445,digging,-31,-0.02498168498168498,-0.05814509564509564,-58.14509564509564,-2325.8038258038255
2025-09-24T11:35:35.305889,digging,-9,-0.007252747252747252,-0.05752950752950752,-57.52950752950752,-2301.1803011803013
2025-09-24T11:35:35.306467,digging,17,0.013699633699633697,-0.05680199430199429,-56.80199430199429,-2272.079772079772
2025-09-24T11:35:35.306812,digging,38,0.03062271062271062,-0.05621438746438746,-56.21438746438746,-2248.5754985754984
2025-09-24T11:35:35.307205,digging,-52,-0.0419047619047619,-0.05873270248270247,-58.73270248270247,-2349.308099308099
2025-09-24T11:35:35.307698,digging,39,0.031428571428571424,-0.05618640618640618,-56.18640618640618,-2247.4562474562476
2025-09-24T11:35:35.308131,digging,12,0.009670329670329669,-0.05694190069190068,-56.94190069190068,-2277.676027676027
2025-09-24T11:35:35.308578,digging,3,0.002417582417582417,-0.05719373219373218,-57.19373219373218,-2287.749287749287
2025-09-24T11:35:35.309088,digging,-40,-0.03223443223443224,-0.058396927146927145,-58.39692714692715,-2335.877085877086
2025-09-24T11:35:35.310116,digging,-22,-0.017728937728937726,-0.057893264143264137,-57.89326414326413,-2315.7305657305656
2025-09-24T11:35:35.310775,digging,18,0.014505494505494505,-0.05677401302401301,-56.77401302401301,-2270.9605209605206
2025-09-24T11:35:35.311507,digging,-14,-0.011282051282051281,-0.05766941391941391,-57.669413919413905,-2306.7765567765564
2025-09-24T11:35:35.312303,digging,56,0.045128205128205125,-0.055710724460724455,-55.71072446072446,-2228.428978428978
2025-09-24T11:35:35.313286,digging,-77,-0.06205128205128205,-0.05943223443223442,-59.432234432234424,-2377.2893772893767
2025-09-24T11:35:35.314033,digging,61,0.049157509157509154,-0.05557081807081806,-55.57081807081806,-2222.8327228327225
2025-09-24T11:35:35.314918,digging,4,0.0032234432234432234,-0.05716575091575091,-57.165750915750905,-2286.630036630036
2025-09-24T11:35:35.315737,digging,-15,-0.012087912087912088,-0.05769739519739519,-57.69739519739519,-2307.8958078958076
2025-09-24T11:35:35.316465,digging,24,0.019340659340659337,-0.05660612535612535,-56.606125356125354,-2264.2450142450143
2025-09-24T11:35:35.317191,digging,-14,-0.011282051282051281,-0.05766941391941391,-57.669413919413905,-2306.7765567765564
2025-09-24T11:35:35.318157,digging,68,0.05479853479853479,-0.05537494912494912,-55.37494912494912,-2214.997964997965
2025-09-24T11:35:35.318586,digging,-11,-0.008864468864468863,-0.057585470085470075,-57.58547008547008,-2303.4188034188032
2025-09-24T11:35:35.319166,digging,-14,-0.011282051282051281,-0.05766941391941391,-57.669413919413905,-2306.7765567765564
2025-09-24T11:35:35.319701,digging,20,0.01611721611721612,-0.056718050468050465,-56.718050468050464,-2268.7220187220187
2025-09-24T11:35:35.320153,digging,7,0.005641025641025641,-0.05708180708180708,-57.08180708180708,-2283.272283272283
2025-09-24T11:35:35.320579,digging,0,0.0,-0.05727767602767602,-57.27767602767602,-2291.1070411070405
2025-09-24T11:35:35.320997,digging,25,0.020146520146520148,-0.05657814407814407,-56.57814407814407,-2263.125763125763
2025-09-24T11:35:35.321409,digging,8,0.006446886446886447,-0.05705382580382579,-57.053825803825795,-2282.1530321530317
2025-09-24T11:35:35.321826,digging,-15,-0.012087912087912088,-0.05769739519739519,-57.69739519739519,-2307.8958078958076
2025-09-24T11:35:35.322190,digging,-48,-0.038681318681318674,-0.05862077737077736,-58.62077737077736,-2344.831094831094
2025-09-24T11:35:35.323107,digging,32,0.025787545787545788,-0.056382275132275124,-56.382275132275126,-2255.291005291005
2025-09-24T11:35:35.323610,digging,-35,-0.028205128205128206,-0.058257020757020744,-58.25702075702075,-2330.28083028083
2025-09-24T11:35:35.324084,digging,-37,-0.029816849816849816,-0.058312983312983305,-58.312983312983306,-2332.5193325193322
2025-09-24T11:35:35.324676,digging,17,0.013699633699633697,-0.05680199430199429,-56.80199430199429,-2272.079772079772
2025-09-24T11:35:35.325174,digging,-18,-0.014505494505494505,-0.05778133903133902,-57.78133903133902,-2311.253561253561
2025-09-24T11:35:35.325709,digging,51,0.041098901098901096,-0.05585063085063084,-55.85063085063084,-2234.0252340252337
